LABEL                          USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
u:r:init:s0                    root             1     0 2262228   8688 0                   0 S init
u:r:vendor_init:s0             root             4     1 2240836   4080 0                   0 S init
u:r:ueventd:s0                 root             6     1 2234928   5660 0                   0 S ueventd
u:r:logd:s0                    logd            34     1 2287696   8256 0                   0 S logd
u:r:lmkd:s0                    lmkd            35     1 2155564   3716 0                   0 S lmkd
u:r:servicemanager:s0          system          36     1 2160712   3680 0                   0 S servicemanager
u:r:hwservicemanager:s0        system          37     1 2211308   5384 0                   0 S hwservicemanager
u:r:vndservicemanager:s0       system          42     1 2147376   2740 0                   0 S vndservicemanager
u:r:tee:s0                     system          43     1 2295148   3616 0                   0 S qseecomd
u:r:cells_service:s0           root            44     1 2353448   3248 0                   0 S cellsservice
u:r:crashlogd:s0               system          45     1 2238292   3684 0                   0 S logcat
u:r:vold:s0                    root            46     1 2243980   6984 0                   0 S vold
u:r:keystore:s0                keystore        59     1 2276884  10156 0                   0 S keystore2
u:r:vendor_hal_gatekeeper_qti:s0 system        60     1 2223880   3076 0                   0 S android.hardware.gatekeeper@1.0-service-qti
u:r:shell:s0                   root            72     1 2153824   2296 0                   0 S sh
u:r:tombstoned:s0              system          73     1 2178844   2516 0                   0 S tombstoned
u:r:mmc_use_info:s0            root            77     1 2192200   3628 0                   0 S mmc_use_info_record
u:r:DevOperatorServer:s0       root            89     1 2283036   4500 0                   0 S DevOperatorServer
u:r:hal_someip_default:s0      root            90     1 4306744  10516 0                   0 S vendor.ts.someip@1.0-service
u:r:hal_tetheroffload_default:s0 radio         93     1 2396336   3876 0                   0 S ipacm
u:r:statsd:s0                  statsd         120     1 2406268   4224 0                   0 S statsd
u:r:netd:s0                    root           124     1 3478892  28932 0                   0 S netd
u:r:zygote:s0                  root           125     1 6597096 193392 0                   0 S zygote64
u:r:zygote:s0                  root           126     1 1850128  79384 0                   0 S zygote
u:r:autoservice:s0             system         129     1 2519532  11764 0                   0 S autoservice
u:r:vendor_ssgtzd:s0           system         171     1 3658040   3040 0                   0 S ssgtzd
u:r:hal_audio_default:s0       audioserver    189     1  112668  34068 0                   0 S android.hardware.audio.service
u:r:hal_allocator_default:s0   system         224     1 2158884   3912 0                   0 S android.hidl.allocator@1.0-service
u:r:ipel_engine_service_default:s0 system     261     1 2270872   5596 0                   0 S vendor.byd.ipel@1.0-service
u:r:vendor_qccsyshal_qti:s0    system         262     1 2313052   3228 0                   0 S qccsyshal@1.2-service
u:r:hal_bluetooth_default:s0   bluetooth      263     1 2443416   4696 0                   0 S android.hardware.bluetooth@1.0-service-qti
u:r:hal_camera_default:s0      cameraserver   265     1 3608400  99380 0                   0 S android.hardware.camera.provider@2.4-service_64
u:r:vendor_hal_drm_clearkey:s0 media          268     1 2263376   2992 0                   0 S android.hardware.drm@1.3-service.clearkey
u:r:vendor_hal_gnss_qti:s0     gps            269     1 2774584   7116 0                   0 S android.hardware.gnss@2.1-service-qti
u:r:mediacodec:s0              mediacodec     272     1 2472260   4912 0                   0 S android.hardware.media.c2@1.0-service-dolby
u:r:hal_memtrack_default:s0    system         273     1 2196916   3540 0                   0 S android.hardware.memtrack@1.0-service
u:r:hal_wifi_default:s0        wifi           280     1 2211476  21156 0                   0 S android.hardware.wifi@1.0-service
u:r:vendor_qconfigservice:s0   media          299     1 2302244   3236 0                   0 S qconfigservice
u:r:vendor_hal_qesdhal_default:s0 system      300     1 2274932   3136 0                   0 S qesdk-manager
u:r:hal_rtkethernet_default:s0 system         301     1 2186136   3144 0                   0 S vendor.hardware.rtkethernet@1.0-service
u:r:hal_nfc_default:s0         nfc            304     1 2246636   2720 0                   0 S vendor.nxp.hardware.nfc@2.0-service
u:r:hal_graphics_composer_default:s0 system   305     1 2722128  12076 0                   0 S vendor.qti.hardware.display.composer-service
u:r:vendor_dspservice:s0       system         308     1 2239708   3080 0                   0 S dspservice
u:r:vendor_hal_eid_qti:s0      system         309     1 2262056   3176 0                   0 S vendor.qti.hardware.eid@1.0-service
u:r:vendor_hal_iop_default:s0  root           311     1 2333844   4916 0                   0 S vendor.qti.hardware.iop@2.0-service
u:r:vendor_hal_limits_qti:s0   root           313     1 2177204   3108 0                   0 S vendor.qti.hardware.limits@1.0-service
u:r:vendor_hal_perf_default:s0 root           317     1 2610156   7944 0                   0 S vendor.qti.hardware.perf@2.2-service
u:r:vendor_hal_secureprocessor_qti:s0 system  320     1 2303604   2816 0                   0 S vendor.qti.hardware.secureprocessor@1.0
u:r:vendor_hal_srvctracker_default:s0 system  321     1 2336648   3616 0                   0 S vendor.qti.hardware.servicetracker@1.2-service
u:r:vendor_hal_soter_qti:s0    system         335     1 2203064   3076 0                   0 S vendor.qti.hardware.soter@1.0-service
u:r:hal_vibrator_default:s0    system         337     1 2203112   3552 0                   0 S vendor.qti.hardware.vibrator.service
u:r:mediacodec:s0              mediacodec     338     1   54328   9736 0                   0 S media.hwcodec
u:r:vendor_hal_qspmhal_default:s0 system      339     1 2237900   3708 0                   0 S vendor.qti.qspmhal@1.0-service
u:r:vendor_vppservice:s0       media          340     1 2307148   4172 0                   0 S vppservice
u:r:tec_control:s0             system         341     1 2316312   5160 0                   0 S tecControl
u:r:stateservice:s0            root           345     1 2224056   3460 0                   0 S stateservice
u:r:vendor_lowirpcd_service:s0 system         356     1 2179152   1704 0                   0 S lowirpcd
u:r:vendor_pd_mapper:s0        system         361     1 2156952   1776 0                   0 S pd-mapper
u:r:accanimation:s0            system         374     1 3080980  31056 0                   0 S accanimation
u:r:audioserver:s0             audioserver    375     1 4057048  36704 0                   0 S audioserver
u:r:credstore:s0               credstore      378     1 2162684   4496 0                   0 S credstore
u:r:surfaceflinger:s0          system         379     1 2944564  38028 0                   0 S surfaceflinger
u:r:vendor_spdaemon:s0         system         393     1 2198580   2612 0                   0 S spdaemon
u:r:vendor_rfs_access:s0       vendor_rfs     395     1 2191652   2560 0                   0 S tftp_server
u:r:mcu_log_collection:s0      system         396     1 2193796   3344 0                   0 S mcu_log_collection
u:r:vendor_qwesd:s0            system         446     1 2360208   2540 0                   0 S qwesd
u:r:crashlogd:s0               system         451     1   13476   1076 0                   0 S crashlogd
u:r:vendor_hal_dpmQmiMgr:s0    system         474     1 2360724   3292 0                   0 S dpmQmiMgr
u:r:vendor_wcnss_service:s0    shell          476     1 2245384   5164 0                   0 S cnss_diag
u:r:drmserver:s0               drm            478     1   22656    568 0                   0 S drmserver
u:r:traced_probes:s0           nobody         482     1 2288392   2420 0                   0 S traced_probes
u:r:traced:s0                  nobody         485     1 2242692   3524 0                   0 S traced
u:r:NetMonitorServer:s0        system         499     1 2331852   4316 0                   0 S NetMonitorServer
u:r:hal_uds_default:s0         system         500     1 3489940   5296 0                   0 S vendor.ts.uds@1.0-service.default
u:r:vendor_dpmd:s0             root           501     1 2324860   4700 0                   0 S dpmd
u:r:vendor_feature_enabler_client:s0 system   504     1 2367108   3144 0                   0 S feature_enabler_client
u:r:vendor_dpmd:s0             system         506   501 2346696   2920 0                   0 S dpmd
u:r:vendor_qmipriod:s0         radio          583     1 2315604   2088 0                   0 S qmipriod
